method,seed,taylor_order,infdim,folder,mse_ind,mse_ood,hours,mins,secs
NCF,2024,0,True,240915-042429,1.28e-02,2.09e-02,1,54,43
NCF,2024,1,True,240915-062304,1.97e-02,2.92e-02,1,50,2
NCF,2024,2,True,240915-081659,1.19e-02,1.25e-02,
NCF,2024,3,True,240915-100554,7.21e-03,1.02e-02,
NCF,2024,0,False,240915-121605,9.88e-03,2.73e-02,
NCF,2024,1,False,240915-135042,7.47e-03,1.34e-02,
NCF,2024,2,False,240915-152051,7.71e-02,2.53e-01,
NCF,2024,3,False,240915-171829,1.25e-02,2.12e-02,
NCF,2024094,0,True,240920-185722,1.03e-02,1.45e-02,
NCF,2024094,1,True,240920-203029,1.41e-02,1.71e-02,
NCF,2024094,2,True,240920-221141,1.16e-02,1.40e-02,
NCF,2024094,3,True,240921-000116,9.94e-03,1.57e-02,
NCF,2024094,0,False,240921-014616,8.26e-03,1.26e-02,
NCF,2024094,1,False,240921-031608,1.01e-02,1.36e-02,
NCF,2024094,2,False,240921-044742,1.46e-02,2.10e-02,
NCF,2024094,3,False,240921-061826,8.73e-03,1.85e-02,
NCF,42,0,True,240921-171004,1.29e-02,2.03e-02,
NCF,42,1,True,240921-184231,8.88e-03,1.63e-02,
NCF,42,2,True,240921-202415,1.83e-02,7.78e-02,
NCF,42,3,True,240921-222150,1.17e-02,1.85e-02,
NCF,42,0,False,240922-002125,5.66e-03,1.26e-02,
NCF,42,1,False,240922-015503,1.47e-02,2.29e-02,
NCF,42,2,False,240922-032212,8.99e-03,1.92e-02,
NCF,42,3,False,240922-045410,8.27e-03,1.77e-02,
