method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,12500,2,2,1,1000,1.6626099348068237,0.022307395935058594,4.627223014831543,0.3040127754211426
NCF,12500,2,2,20,10000,0.02954154834151268,0.009203610010445118,6.785273551940918,0.879601001739502
CAVIA,12500,2,2,5,1000,0.31568092107772827,0.0041997432708740234,6.486522674560547,0.4043006896972656
CAVIA,12500,2,3,1,1000,1.4053840637207031,0.01943504810333252,4.742154121398926,0.31918954849243164
NCF,12500,2,3,20,10000,0.05127550661563873,0.01627238094806671,6.7337541580200195,0.8724479675292969
CAVIA,12500,2,3,5,1000,0.2375909686088562,0.003092750906944275,6.482423305511475,0.40782833099365234
CAVIA,12500,2,3,100,1000,0.002291679847985506,5.229818634688854e-05,6.2462663650512695,0.41615772247314453
CAVIA,12500,2,50,1,1000,0.7268577218055725,0.014116823673248291,5.082635879516602,0.3272428512573242
NCF,12500,2,50,20,10000,0.04794247820973396,0.006164729595184326,6.787388324737549,0.8702597618103027
CAVIA,12500,2,50,5,1000,0.14425323903560638,0.0027957409620285034,6.306023597717285,0.40388917922973633
