method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood,nan
CAVIA,12500,2,50,100,1000,0.0012670685537159443,4.258251283317804e-05,0.012686820700764656,0.003334205597639084,False
CAVIA,12500,0,50,100,500,0.0002485953154973686,7.221009582281113e-06,0.002793728606775403,0.0005295390728861094,False
CAVIA,12500,0,50,5,1000,0.2405763566493988,0.0031783729791641235,0.3088200092315674,0.01685473322868347,True
CAVIA,12500,0,3,5,1000,0.2803971469402313,0.003235727548599243,0.3450540006160736,0.01917603611946106,False
CAVIA,12500,0,2,100,500,0.0069360448978841305,0.00010653119534254074,0.009978906251490116,0.0012252535670995712,False
CAVIA,1000,0,50,5,12000,0.3507114052772522,0.01481938362121582,0.458609402179718,0.02218875288963318,True
NCF,250,2,2,20,10000,0.00035101608955301344,4.3391104554757476e-05,0.0008390754810534418,0.0006287706200964749,False
NCF,250,0,50,20,10000,0.0036247980315238237,0.0006057921564206481,0.17268699407577515,0.06052372232079506,False
