method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,250,0,50,5,50000,0.09237980097532272,0.013332642614841461,0.14829762279987335,0.011567652225494385
CAVIA,250,2,50,5,50000,0.09307515621185303,0.015501871705055237,0.14326956868171692,0.011584341526031494
CAVIA,12500,2,2,1,1000,1.6626099348068237,0.022307395935058594,1.7754592895507812,0.08572208881378174
CAVIA,12500,2,3,100,1000,0.002291679847985506,5.229818634688854e-05,0.006014376413077116,0.0025098207406699657
CAVIA,250,2,3,5,50000,0.20228353142738342,0.024606168270111084,0.28120338916778564,0.020859241485595703
CAVIA,250,2,3,100,50000,0.0036064335145056248,0.0005436745705083013,0.008875547908246517,0.0018913086969405413
CAVIA,1000,0,50,5,12000,0.3567107617855072,0.01656872034072876,0.4232156574726105,0.02221626043319702
CAVIA,1000,2,3,1,12000,1.5742156505584717,0.07810962200164795,1.7001169919967651,0.08506941795349121
CAVIA,12500,0,2,100,500,0.0069360448978841305,0.00010653119534254074,0.009978906251490116,0.0012252535670995712
CAVIA,1000,0,3,1,12000,1.5660216808319092,0.07853436470031738,1.70436692237854,0.08582675457000732
CAVIA,250,0,3,1,50000,1.5166966915130615,0.15149080753326416,1.7283580303192139,0.09114110469818115
CAVIA,1000,0,2,100,12000,0.002006398281082511,0.00015590735711157322,0.003351455321535468,0.0009829240152612329
CAVIA,12500,0,3,1,1000,1.541178822517395,0.020725607872009277,1.6519283056259155,0.0789269208908081
CAVIA,12500,2,2,5,1000,0.31568092107772827,0.0041997432708740234,0.3620237708091736,0.019443362951278687
CAVIA,12500,0,50,5,1000,0.2405763566493988,0.0031783729791641235,0.3088200092315674,0.01685473322868347
CAVIA,250,2,50,100,50000,0.0003352743515279144,5.010937456972897e-05,0.003400341607630253,0.0006334123900160193
CAVIA,250,0,50,100,50000,9.944054909283295e-05,1.1335287126712501e-05,0.0008925995207391679,0.000221212423639372
CAVIA,12500,2,50,1,1000,0.7268577218055725,0.014116823673248291,0.8806685209274292,0.056889355182647705
CAVIA,250,2,2,100,50000,0.0030301662627607584,0.00040281424298882484,0.004921825602650642,0.0004971795715391636
CAVIA,12500,2,3,5,1000,0.2375909686088562,0.003092750906944275,0.295315146446228,0.018698453903198242
CAVIA,250,2,2,5,50000,0.22766028344631195,0.026159659028053284,0.31460022926330566,0.022992342710494995
CAVIA,12500,2,50,5,1000,0.14425323903560638,0.0027957409620285034,0.19188733398914337,0.014751523733139038
CAVIA,1000,0,3,100,12000,0.0030193044804036617,0.0002320408821105957,0.007622843142598867,0.0021246953401714563
CAVIA,250,0,3,5,50000,0.8737085461616516,0.09054553508758545,0.9508973956108093,0.0483098030090332
CAVIA,1000,2,50,5,12000,0.1256975680589676,0.00797615572810173,0.22481028735637665,0.021586984395980835
CAVIA,12500,0,3,100,1000,0.0040934039279818535,7.872888818383217e-05,0.01223803497850895,0.0067938161082565784
CAVIA,1000,2,3,100,12000,0.0028007247019559145,0.00020002922974526882,0.005926650483161211,0.000990843866020441
CAVIA,250,0,3,100,50000,0.0031840731389820576,0.0004938284400850534,0.008240862749516964,0.0021248541306704283
CAVIA,1000,2,2,1,12000,1.5633670091629028,0.0789651870727539,1.7090994119644165,0.08815348148345947
CAVIA,12500,0,3,5,1000,0.2803971469402313,0.003235727548599243,0.3450540006160736,0.01917603611946106
CAVIA,250,0,50,1,50000,0.6034274697303772,0.09473586082458496,0.8766108751296997,0.0677749514579773
CAVIA,12500,0,50,1,1000,0.7359299659729004,0.013667821884155273,0.8891612887382507,0.05507338047027588
CAVIA,12500,0,2,5,1000,0.29819393157958984,0.0034698843955993652,0.3507147431373596,0.020569324493408203
NCF,12500,2,2,20,10000,0.02954154834151268,0.009203610010445118,0.007115320768207312,0.0010253225918859243
NCF,250,0,3,(20, 20),10000,0.0015592562267556787,0.00032282224856317043,0.008417877368628979,0.0015873117372393608
NCF,12500,0,50,20,10000,0.06968339532613754,0.009080501273274422,0.15877211093902588,0.02985258400440216
NCF,250,0,2,(20, 20),10000,0.00048066742601804435,9.376036177854985e-05,0.004855804145336151,0.0062997229397296906
NCF,1000,0,3,20,10000,0.008119150996208191,0.0013475976884365082,0.012378830462694168,0.0021479791030287743
NCF,250,2,50,20,10000,0.007195443380624056,0.0010410365648567677,0.49256807565689087,0.190437912940979
NCF,1000,2,3,20,10000,0.0020738206803798676,0.0004954741452820599,0.01733272708952427,0.012197069823741913
NCF,12500,2,3,20,10000,0.05127550661563873,0.01627238094806671,0.08538443595170975,0.10761712491512299
NCF,12500,0,3,20,10000,0.037459831684827805,0.008122548460960388,0.009710798971354961,0.006108946166932583
NCF,250,2,3,20,10000,0.0015140619361773133,0.0004488712875172496,0.03950947895646095,0.016740523278713226
NCF,1000,0,2,20,10000,0.0007759274449199438,0.0002905502915382385,0.0017973078647628427,0.0006877502310089767
NCF,12500,2,50,20,10000,0.04794247820973396,0.006164729595184326,0.13185802102088928,0.029852915555238724
NCF,12500,0,2,20,10000,0.057520542293787,0.01403772458434105,0.034633997827768326,0.007204268127679825
NCF,1000,0,50,20,10000,0.02525705099105835,0.00317259319126606,0.44605371356010437,0.2348441183567047
NCF,250,0,50,20,10000,0.0036247980315238237,0.0006057921564206481,0.17268699407577515,0.06052372232079506
NCF,1000,2,2,20,10000,0.001162467640824616,0.00029305569478310645,0.013011286966502666,0.01726776361465454
NCF,250,2,2,20,10000,0.00035101608955301344,4.3391104554757476e-05,0.0008390754810534418,0.0006287706200964749
NCF,1000,2,50,20,10000,0.010855491273105145,0.001641540788114071,0.1719527244567871,0.1271059215068817
